frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
175,29257,0x0A8,8,92,E1,DF,BF,FF,00,00,00
175,29257,0x0A8,8,92,E1,DF,BF,FF,00,00,00
176,29257,0x0A7,8,19,E1,BF,FF,FE,FB,EF,9F
176,29257,0x0A7,8,19,E1,BF,FF,FE,FB,EF,9F
177,29257,0x0AF,4,83,7D,31,01,FE,FB,EF,9F
177,29257,0x0AF,4,83,7D,31,01,FE,FB,EF,9F
178,29263,0x0AD,8,62,E2,BF,FF,00,14,00,00
178,29263,0x0AD,8,62,E2,BF,FF,00,14,00,00
179,29263,0x0AE,8,C6,02,00,00,42,00,00,02
179,29263,0x0AE,8,C6,02,00,00,42,00,00,02
180,29267,0x0A7,8,6D,E2,BF,FF,FE,FB,EF,9F
180,29267,0x0A7,8,6D,E2,BF,FF,FE,FB,EF,9F
181,29267,0x0A8,8,7E,E2,DF,BF,FF,00,00,00
181,29267,0x0A8,8,7E,E2,DF,BF,FF,00,00,00
182,29268,0x0AF,4,83,7E,00,00,00,00,00,00
182,29268,0x0AF,4,83,7E,00,00,00,00,00,00
183,29273,0x0AD,8,E3,E3,BF,FF,00,14,00,00
183,29273,0x0AD,8,E3,E3,BF,FF,00,14,00,00
184,29273,0x0AE,8,4E,03,00,00,43,00,00,02
184,29273,0x0AE,8,4E,03,00,00,43,00,00,02
185,29277,0x0A8,8,91,E3,DF,BF,FF,00,00,00
185,29277,0x0A8,8,91,E3,DF,BF,FF,00,00,00
186,29277,0x0A7,8,EC,E3,BF,FF,FE,FB,EF,9F
186,29277,0x0A7,8,EC,E3,BF,FF,FE,FB,EF,9F
187,29278,0x0AF,4,83,7F,00,00,00,00,00,00
187,29278,0x0AF,4,83,7F,00,00,00,00,00,00
188,29283,0x0AD,8,41,E4,BF,FF,00,14,00,00
188,29283,0x0AD,8,41,E4,BF,FF,00,14,00,00
189,29283,0x0AE,8,72,04,00,00,44,00,00,02
189,29283,0x0AE,8,72,04,00,00,44,00,00,02
190,29287,0x0A7,8,D6,E4,BF,FF,FE,FB,EF,9F
190,29287,0x0A7,8,D6,E4,BF,FF,FE,FB,EF,9F
191,29287,0x0A8,8,3D,E4,DF,BF,FF,00,00,00
191,29287,0x0A8,8,3D,E4,DF,BF,FF,00,00,00
192,29288,0x0AF,4,83,70,00,00,00,27,00,00
192,29288,0x0AF,4,83,70,00,00,00,27,00,00
193,29293,0x0AD,8,74,E5,BF,FF,00,14,00,00
193,29293,0x0AD,8,74,E5,BF,FF,00,14,00,00
194,29293,0x0AE,8,24,05,00,00,45,00,00,02
194,29293,0x0AE,8,24,05,00,00,45,00,00,02
195,29297,0x0A7,8,AD,E5,BF,FF,FE,FB,EF,9F
195,29297,0x0A7,8,AD,E5,BF,FF,FE,FB,EF,9F
196,29297,0x0A8,8,57,E5,DF,BF,FF,00,00,00
196,29297,0x0A8,8,57,E5,DF,BF,FF,00,00,00
197,29298,0x0AF,4,83,71,00,00,FF,00,00,00
197,29298,0x0AF,4,83,71,00,00,FF,00,00,00
198,29303,0x0AD,8,6A,E6,BF,FF,00,14,00,00
198,29303,0x0AD,8,6A,E6,BF,FF,00,14,00,00
199,29303,0x0AE,8,A7,06,00,00,46,00,00,02
199,29303,0x0AE,8,A7,06,00,00,46,00,00,02
200,29307,0x0A7,8,3E,E6,BF,FF,FE,FB,EF,9F
